"Natural gas total consumption (excluding supplemental gaseous fuels), billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"2,034","2,300","4,048","5,567","6,805","7,670","12,282","11,889","17,636","42,940","64,045","68,045","75,032","63,703","63,188","85,175","90,571","116,859","145,025","157,236","153,805","122,214","237,881","239,678","258,039","214,042","208,311","251,512","288,798","321,207","326,826","367,952","383,887","375,971","367,592","432,813","443,629","425,394","434,437","422,817","437,972","413,049","420,808","415,891","407,944","434,704","375,719","372,186","343,938","343,971","334,978","339,819","347,228","332,631","329,274","333,936","330,883","343,899","346,255","343,384","374,561","395,590","437,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"190,706","191,533","201,250","211,348","230,316","236,949","240,755","262,055","296,690","310,822","307,750","294,838","287,100","279,958","282,454","271,747","232,758","248,715","244,969","291,485","278,342","281,022","253,391","229,993","239,598","227,780","210,226","214,611","243,192","253,577","252,128","261,476","287,947","302,250","299,250","332,399","337,764","337,431","341,973","349,076","368,472","344,004","389,965","360,483","391,927","363,398","402,044","430,649","414,260","466,272","544,405","609,288","677,380","625,869","650,570","701,582","715,033","681,208","771,194","748,731","714,871","739,891","787,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"222,202","215,311","235,477","252,846","278,852","277,661","289,632","295,756","321,569","349,990","383,478","334,979","317,640","327,475","290,102","257,445","248,194","234,379","220,898","255,010","273,987","265,043","227,389","211,726","214,432","199,350","202,982","172,340","218,787","251,139","234,465","212,680","226,598","232,682","247,187","271,956","274,991","264,019","272,888","257,666","256,114","231,590","247,899","254,571","217,921","216,600","240,885","229,610","238,424","248,100","274,774","288,906","300,572","288,045","273,009","296,826","315,617","317,530","366,939","371,388","335,436","360,545","397,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"140,275","159,093","163,461","169,533","174,623","166,063","174,448","169,085","189,965","210,332","204,383","225,898","241,355","226,325","204,955","164,346","180,181","176,449","186,366","180,580","173,970","192,208","142,323","120,418","126,844","137,315","105,103","121,301","128,594","151,468","130,781","128,178","133,771","118,159","139,733","127,945","125,265","137,588","161,086","167,770","208,137","244,424","255,247","275,650","356,264","329,302","365,230","401,992","409,966","377,504","336,208","293,134","339,043","340,375","315,916","365,313","373,916","334,629","400,531","484,249","513,540","484,962","468,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,301,826","1,400,174","1,483,423","1,623,370","1,817,241","1,813,213","1,982,305","2,048,734","2,187,260","2,189,883","2,241,295","2,265,324","2,303,562","2,154,045","1,937,140","1,937,322","1,849,711","1,864,187","1,646,333","1,900,357","1,890,887","1,947,370","1,765,171","1,601,037","1,739,833","1,925,459","1,591,045","1,992,956","1,860,391","2,047,845","2,101,602","2,208,285","2,294,135","2,213,111","2,334,777","2,109,956","2,017,680","2,185,029","2,418,688","2,379,558","2,456,438","2,513,856","2,318,656","2,317,062","2,462,247","2,304,463","2,375,929","2,467,545","2,472,612","2,391,374","2,325,411","2,196,252","2,456,371","2,480,792","2,409,574","2,384,061","2,248,939","2,190,994","2,209,801","2,218,732","2,153,254","2,172,757","2,130,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"194,963","210,872","202,310","180,366","205,251","204,483","207,693","210,209","253,481","268,895","274,987","281,846","301,651","311,694","302,725","280,996","276,287","253,994","234,600","260,824","244,771","201,432","216,115","207,120","220,950","209,799","190,320","201,536","218,567","240,556","232,296","268,787","259,036","286,366","272,152","288,383","315,855","311,900","328,897","330,896","366,094","464,062","457,708","436,873","440,720","478,520","458,911","512,841","508,491","525,999","505,628","477,208","456,471","480,875","497,182","490,642","464,749","462,135","518,088","553,842","552,070","509,970","524,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"29,449","31,424","33,355","35,575","38,627","41,720","48,744","50,826","54,053","58,405","61,543","62,417","65,032","63,548","67,139","64,331","66,382","64,709","66,038","68,752","74,033","77,126","79,253","76,286","83,245","80,208","80,962","94,504","90,697","101,745","108,843","115,683","126,132","125,793","134,374","144,867","139,102","148,585","134,891","155,870","163,696","149,344","181,665","157,252","165,862","171,150","175,870","183,604","169,802","188,570","203,814","236,016","236,260","240,102","242,227","260,925","254,652","246,532","285,991","293,149","298,125","305,184","307,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"12,951","13,721","14,742","15,335","16,266","17,315","17,611","21,923","22,957","25,229","26,402","27,663","28,976","28,177","27,559","26,210","29,040","26,212","26,551","30,129","27,950","29,428","29,731","29,633","29,802","29,336","29,972","31,422","33,079","33,757","29,095","31,287","33,187","33,325","31,188","33,201","34,213","34,826","31,235","32,964","34,377","30,577","33,688","33,700","33,097","33,753","29,775","33,856","32,774","34,339","33,717","33,389","29,389","33,725","35,302","33,654","30,160","30,607","32,623","31,603","27,984","28,336","30,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"9,351","9,708","14,999","17,082","17,826","18,742","19,845","21,948","25,069","26,949","26,949","26,981","24,569","23,408","20,772","18,975","19,662","16,261","21,263","25,758","30,783","31,576","28,694","35,491","43,852","39,443","33,594","37,254","29,928","35,883","35,620","38,967","37,201","39,346","47,255","62,738","55,934","48,140","42,322","58,089","50,175","51,817","53,782","47,971","49,722","48,639","44,787","49,932","49,749","51,651","56,086","81,710","104,421","100,682","107,051","107,819","113,552","103,121","99,416","93,442","89,293","82,708","89,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"142,900","148,894","162,843","179,441","189,595","191,669","220,568","234,326","286,653","326,855","350,626","350,527","311,235","324,892","302,002","292,139","300,867","315,950","333,306","357,014","329,567","357,470","339,099","321,009","318,172","305,057","298,928","313,553","305,758","337,182","341,993","360,992","371,137","368,011","417,702","579,310","561,145","547,201","529,565","583,448","574,460","569,757","708,638","714,826","757,672","805,446","917,468","943,845","970,038","1,081,725","1,180,462","1,235,953","1,348,390","1,245,287","1,241,250","1,378,089","1,414,358","1,421,271","1,511,134","1,578,269","1,619,429","1,591,864","1,659,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"188,460","186,255","199,380","195,667","215,579","219,774","243,089","265,271","295,289","324,940","342,834","353,199","341,408","358,532","339,589","335,376","268,375","271,811","286,035","324,478","325,263","325,103","303,335","303,129","315,287","289,572","286,490","311,055","330,859","325,560","319,199","331,599","351,369","359,989","351,897","383,385","393,417","381,712","378,549","347,107","421,262","362,643","393,127","390,760","406,436","427,825","433,920","455,220","436,093","475,240","540,943","531,596","624,338","634,635","664,808","712,580","727,336","709,671","759,205","786,904","779,340","773,889","812,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,76,134,140,137,155,195,179,173,148,167,161,158,187,197,167,196,162,163,192,228,199,133,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"193,688","211,826","221,026","220,538","244,609","249,988","244,028","278,580","303,746","325,026","351,800","347,740","347,617","369,016","371,639","348,564","313,917","281,367","238,754","292,191","270,333","253,927","238,917","223,581","238,314","191,609","163,616","157,888","196,345","178,635","172,149","188,083","179,626","196,652","198,503","210,496","223,127","208,360","184,856","201,472","203,042","193,445","194,041","197,629","198,017","210,742","207,162","264,166","297,357","283,990","278,751","277,576","266,283","306,419","311,352","302,936","317,115","376,298","431,513","433,368","396,343","383,424","433,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"22,776","24,808","26,709","28,366","33,014","36,092","38,992","35,929","40,387","42,389","49,411","53,152","60,084","59,296","55,285","63,776","49,843","48,269","46,570","56,792","51,646","48,107","42,849","36,833","40,341","41,115","35,450","37,780","41,551","46,904","46,786","52,741","50,382","58,294","59,069","65,687","69,191","70,801","71,912","73,361","74,518","81,804","73,482","71,754","78,273","78,118","79,041","83,904","90,550","87,072","85,075","83,947","90,339","107,089","93,610","107,871","110,344","115,899","115,833","133,257","129,363","135,176","141,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"536,127","576,551","624,035","655,743","737,326","778,662","868,621","979,649","1,027,219","1,121,210","1,203,225","1,260,009","1,237,471","1,176,722","1,175,830","1,123,588","1,204,616","1,199,778","1,196,435","1,170,615","1,076,174","1,053,097","996,628","956,269","1,056,089","979,924","920,227","873,837","972,786","1,007,747","951,868","999,478","1,003,295","1,043,124","1,038,608","1,093,289","1,136,534","1,095,556","975,542","1,011,875","1,040,261","958,425","1,051,213","1,001,534","955,972","972,710","896,138","968,652","1,003,219","956,553","962,240","986,310","939,024","1,063,511","1,108,134","1,011,357","1,045,034","1,034,583","1,127,424","1,180,447","1,158,248","1,088,485","1,136,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"219,758","248,273","281,781","297,815","333,685","357,502","399,896","434,632","454,467","531,512","548,640","570,398","580,410","541,215","530,276","472,567","420,969","394,286","436,149","499,345","482,288","487,854","471,776","425,164","451,395","433,689","396,365","412,377","459,359","465,877","456,002","460,594","485,267","521,235","523,523","538,395","576,285","559,146","527,435","558,192","576,102","505,274","538,368","566,838","526,391","535,512","499,753","543,800","555,489","511,289","577,423","635,117","654,528","680,051","723,942","735,055","779,945","747,919","890,433","934,151","873,263","869,328","913,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"373,664","364,020","373,666","367,759","391,306","440,802","481,093","446,454","490,591","540,660","574,542","605,775","626,853","597,207","578,795","490,748","505,408","497,279","507,973","571,266","481,990","422,564","400,519","345,858","360,762","354,756","307,990","343,155","347,982","338,559","352,645","373,151","338,755","386,513","415,552","367,750","360,921","338,569","325,041","302,023","314,868","273,862","307,432","284,722","260,117","258,695","269,274","291,695","292,523","292,425","280,413","285,318","268,086","288,274","291,483","280,421","276,404","279,097","321,809","319,950","301,035","291,797","318,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"153,807","156,328","163,826","173,508","179,666","176,734","152,219","197,083","201,137","240,050","252,265","248,514","259,546","250,136","231,423","209,199","248,673","221,936","215,021","220,854","204,062","202,235","191,042","177,528","193,323","177,681","173,524","178,271","190,884","195,826","191,704","196,251","200,899","213,053","221,269","245,572","248,009","239,307","212,107","225,390","234,171","216,705","236,124","231,384","233,361","240,853","217,166","235,876","233,165","214,261","239,057","229,048","232,701","235,703","262,278","276,867","279,935","296,673","356,673","361,174","344,941","365,875","402,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,003,771","1,064,610","1,050,301","1,128,773","1,201,445","1,156,449","1,245,597","1,440,390","1,539,750","1,784,110","1,894,224","1,938,558","1,996,015","2,072,164","2,068,614","1,854,766","2,121,366","2,274,100","2,349,710","2,051,384","1,862,179","1,847,639","1,629,186","1,472,328","1,661,309","1,441,820","1,496,106","1,560,707","1,506,424","1,622,888","1,654,692","1,596,766","1,619,499","1,637,028","1,649,015","1,737,257","1,687,569","1,857,072","1,679,040","1,558,295","1,625,863","1,347,228","1,475,464","1,353,179","1,393,140","1,367,497","1,346,690","1,430,621","1,369,823","1,315,265","1,482,948","1,535,704","1,585,876","1,504,969","1,547,176","1,594,207","1,718,305","1,716,392","1,865,382","1,963,928","1,921,961","1,862,346","2,073,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"80,612","84,630","92,131","99,924","108,193","115,712","117,709","129,884","133,913","138,632","149,074","158,329","162,204","157,258","156,666","154,583","157,185","161,465","161,964","157,883","169,897","165,351","181,781","185,610","208,279","221,026","188,754","231,953","216,402","260,271","273,581","283,708","344,350","350,562","381,130","391,216","386,953","411,405","367,039","361,211","357,716","364,097","404,456","414,970","383,625","386,339","378,026","418,907","415,247","408,509","447,428","464,018","430,920","435,312","432,523","457,124","440,725","462,406","452,093","442,794","400,675","404,301","432,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"73,315","76,520","84,796","89,004","94,255","100,979","102,826","121,287","129,702","147,720","159,584","164,689","180,283","177,629","175,541","141,854","149,642","135,168","139,642","179,631","162,955","177,238","159,832","148,327","162,784","155,581","157,872","174,143","177,667","198,687","180,566","182,961","189,963","186,562","190,998","198,577","200,827","219,008","195,457","202,525","219,031","184,783","203,489","204,345","201,801","211,830","189,179","208,439","202,744","203,604","217,625","199,132","216,558","206,126","217,227","225,969","229,508","232,723","312,824","311,631","294,026","299,282","310,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,522,775,819,"1,139","1,315","1,475","1,554","1,657","1,635","1,976","2,083","2,047","2,166","2,162","2,162","2,288","2,686","2,475","2,528","2,620","2,549","2,747","3,283","3,930","4,572","5,001","5,333","5,191","5,268","5,538","5,821","6,470","5,789","6,646","48,041","101,190","126,275","73,517","89,581","64,818","67,557","67,227","74,494","73,569","80,988","75,061","70,451","65,886","62,423","54,203","54,509","45,125","48,370","46,301","47,028","57,233","62,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"382,980","422,582","459,179","470,503","505,780","563,563","626,782","699,131","711,046","788,222","821,261","863,320","877,742","929,555","942,595","894,795","895,140","745,743","793,936","880,367","874,651","811,399","762,073","710,144","727,492","717,041","686,621","668,667","763,254","797,304","879,335","889,956","964,201","924,909","917,002","970,995","1,017,096","987,593","871,603","947,027","971,656","924,496","984,715","950,714","938,628","927,535","816,993","814,887","797,534","750,783","758,696","787,337","804,084","831,741","878,128","871,834","926,828","908,197","1,010,919","1,054,986","1,004,204","950,364","1,087,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"186,121","199,324","221,625","218,609","236,502","248,244","265,810","285,350","315,017","328,944","343,007","352,144","352,111","360,450","351,995","331,518","319,516","292,501","312,196","332,631","284,941","264,845","263,011","246,314","256,402","258,499","244,526","239,750","285,439","301,369","291,771","318,200","312,165","331,511","327,091","357,493","374,298","360,264","337,078","351,078","367,359","344,882","374,171","374,189","362,346","372,082","358,198","395,658","435,086","405,516","427,186","424,958","430,277","478,611","490,111","448,557","466,365","466,884","514,172","549,487","496,026","523,812","533,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"270,074","284,094","299,614","309,137","332,023","347,967","357,396","367,195","372,856","406,671","432,532","432,108","428,192","424,673","411,933","371,837","381,399","367,704","360,269","340,138","322,842","287,706","282,312","264,229","269,127","263,961","244,317","234,492","254,438","252,657","241,335","258,636","241,227","280,680","267,762","281,056","296,414","285,391","261,463","269,052","288,058","288,586","278,873","265,133","268,289","273,386","257,924","277,919","298,421","266,711","282,123","275,308","258,945","281,399","301,368","270,885","273,583","264,614","330,552","327,798","303,719","293,633","322,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
